id,page,page_key,category,viewport,severity,fix_type,issue,suggested_fix,net_url,com_url,com_status,net_height,com_height,height_delta_pct,visual_diff_pct,text_overlap_pct,net_screenshot,com_screenshot,status,owner,decision
artists-julie-kouassi-desktop,Julie Kouassi,artists-julie-kouassi,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/julie-kouassi,https://preview.newafro.com/artists/julie-kouassi/,404,1933,1168,-39.6,18.3,5.9,../newafro-net/screenshots/artists-julie-kouassi-desktop.jpg,com-screenshots/artists-julie-kouassi-desktop.jpg,Open,,
artists-julie-kouassi-mobile,Julie Kouassi,artists-julie-kouassi,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/julie-kouassi,https://preview.newafro.com/artists/julie-kouassi/,404,2379,1520,-36.1,16.7,5.9,../newafro-net/screenshots/artists-julie-kouassi-mobile.jpg,com-screenshots/artists-julie-kouassi-mobile.jpg,Open,,
artists-lyanel-desktop,Lyanel,artists-lyanel,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/lyanel,https://preview.newafro.com/artists/lyanel/,404,1933,1168,-39.6,21.1,8.7,../newafro-net/screenshots/artists-lyanel-desktop.jpg,com-screenshots/artists-lyanel-desktop.jpg,Open,,
artists-lyanel-mobile,Lyanel,artists-lyanel,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/lyanel,https://preview.newafro.com/artists/lyanel/,404,2379,1520,-36.1,24.5,8.7,../newafro-net/screenshots/artists-lyanel-mobile.jpg,com-screenshots/artists-lyanel-mobile.jpg,Open,,
artists-maria-bayer-desktop,Maria Bayer,artists-maria-bayer,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/maria-bayer,https://preview.newafro.com/artists/maria-bayer/,404,1933,1168,-39.6,19.8,37.3,../newafro-net/screenshots/artists-maria-bayer-desktop.jpg,com-screenshots/artists-maria-bayer-desktop.jpg,Open,,
artists-maria-bayer-mobile,Maria Bayer,artists-maria-bayer,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/maria-bayer,https://preview.newafro.com/artists/maria-bayer/,404,2379,1520,-36.1,21.8,37.3,../newafro-net/screenshots/artists-maria-bayer-mobile.jpg,com-screenshots/artists-maria-bayer-mobile.jpg,Open,,
artists-n-c3-a9o-desktop,NéO,artists-n-c3-a9o,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/n%C3%A9o,https://preview.newafro.com/artists/n%C3%A9o/,404,1933,1168,-39.6,25.9,8.7,../newafro-net/screenshots/artists-n-c3-a9o-desktop.jpg,com-screenshots/artists-n-c3-a9o-desktop.jpg,Open,,
artists-n-c3-a9o-mobile,NéO,artists-n-c3-a9o,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/n%C3%A9o,https://preview.newafro.com/artists/n%C3%A9o/,404,2379,1520,-36.1,24.5,8.7,../newafro-net/screenshots/artists-n-c3-a9o-mobile.jpg,com-screenshots/artists-n-c3-a9o-mobile.jpg,Open,,
artists-nuits-baln-c3-a9aires-desktop,Nuits BalnéAires,artists-nuits-baln-c3-a9aires,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/nuits-baln%C3%A9aires,https://preview.newafro.com/artists/nuits-baln%C3%A9aires/,404,1933,1168,-39.6,18.1,9.4,../newafro-net/screenshots/artists-nuits-baln-c3-a9aires-desktop.jpg,com-screenshots/artists-nuits-baln-c3-a9aires-desktop.jpg,Open,,
artists-nuits-baln-c3-a9aires-mobile,Nuits BalnéAires,artists-nuits-baln-c3-a9aires,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/nuits-baln%C3%A9aires,https://preview.newafro.com/artists/nuits-baln%C3%A9aires/,404,2379,1520,-36.1,22.3,9.4,../newafro-net/screenshots/artists-nuits-baln-c3-a9aires-mobile.jpg,com-screenshots/artists-nuits-baln-c3-a9aires-mobile.jpg,Open,,
artists-tobi-onabolu-desktop,Tobi Onabolu,artists-tobi-onabolu,Artist pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/tobi-onabolu,https://preview.newafro.com/artists/tobi-onabolu/,404,1933,1168,-39.6,19.9,10,../newafro-net/screenshots/artists-tobi-onabolu-desktop.jpg,com-screenshots/artists-tobi-onabolu-desktop.jpg,Open,,
artists-tobi-onabolu-mobile,Tobi Onabolu,artists-tobi-onabolu,Artist pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artists/tobi-onabolu,https://preview.newafro.com/artists/tobi-onabolu/,404,2379,1520,-36.1,24.8,10,../newafro-net/screenshots/artists-tobi-onabolu-mobile.jpg,com-screenshots/artists-tobi-onabolu-mobile.jpg,Open,,
artworks-nuits-balneaires-nuits-baln-c3-a9aires-desktop,Nuits BalnéAires,artworks-nuits-balneaires-nuits-baln-c3-a9aires,Artwork pages,desktop,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artworks-nuits-balneaires/nuits-baln%C3%A9aires,https://preview.newafro.com/artworks-nuits-balneaires/nuits-baln%C3%A9aires/,404,1000,1168,16.8,5.7,0,../newafro-net/screenshots/artworks-nuits-balneaires-nuits-baln-c3-a9aires-desktop.jpg,com-screenshots/artworks-nuits-balneaires-nuits-baln-c3-a9aires-desktop.jpg,Open,,
artworks-nuits-balneaires-nuits-baln-c3-a9aires-mobile,Nuits BalnéAires,artworks-nuits-balneaires-nuits-baln-c3-a9aires,Artwork pages,mobile,Important,Needs product/content decision,Wix URL has no matching preview page; preview resolves to a 404/not-found page.,"Decide whether artist/artwork profile pages are in scope now. If yes, build a profile template and content collection; if no, mark as intentionally deferred.",https://www.newafro.net/artworks-nuits-balneaires/nuits-baln%C3%A9aires,https://preview.newafro.com/artworks-nuits-balneaires/nuits-baln%C3%A9aires/,404,844,1520,80.1,9.2,0,../newafro-net/screenshots/artworks-nuits-balneaires-nuits-baln-c3-a9aires-mobile.jpg,com-screenshots/artworks-nuits-balneaires-nuits-baln-c3-a9aires-mobile.jpg,Open,,
event-details-registration-begegnung-rencontre-pop-up-abidjan-desktop,Begegnung Rencontre Pop Up Abidjan,event-details-registration-begegnung-rencontre-pop-up-abidjan,Event pages,desktop,Important,Needs content/template review,Low visible text overlap (16.4%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/begegnung-rencontre-pop-up-abidjan,https://preview.newafro.com/event-details-registration/begegnung-rencontre-pop-up-abidjan/,200,2449,2388,-2.5,23,16.4,../newafro-net/screenshots/event-details-registration-begegnung-rencontre-pop-up-abidjan-desktop.jpg,com-screenshots/event-details-registration-begegnung-rencontre-pop-up-abidjan-desktop.jpg,Open,,
event-details-registration-begegnung-rencontre-pop-up-abidjan-mobile,Begegnung Rencontre Pop Up Abidjan,event-details-registration-begegnung-rencontre-pop-up-abidjan,Event pages,mobile,Important,Needs content/template review,Low visible text overlap (16.4%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/begegnung-rencontre-pop-up-abidjan,https://preview.newafro.com/event-details-registration/begegnung-rencontre-pop-up-abidjan/,200,2449,2826,15.4,43.8,16.4,../newafro-net/screenshots/event-details-registration-begegnung-rencontre-pop-up-abidjan-mobile.jpg,com-screenshots/event-details-registration-begegnung-rencontre-pop-up-abidjan-mobile.jpg,Open,,
event-details-registration-benjamin-abana-new-afro-near-week-desktop,Benjamin Abana New Afro Near Week,event-details-registration-benjamin-abana-new-afro-near-week,Event pages,desktop,Important,Needs content/template review,Low visible text overlap (22.8%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/benjamin-abana-new-afro-near-week,https://preview.newafro.com/event-details-registration/benjamin-abana-new-afro-near-week/,200,2823,2388,-15.4,23.9,22.8,../newafro-net/screenshots/event-details-registration-benjamin-abana-new-afro-near-week-desktop.jpg,com-screenshots/event-details-registration-benjamin-abana-new-afro-near-week-desktop.jpg,Open,,
event-details-registration-benjamin-abana-new-afro-near-week-mobile,Benjamin Abana New Afro Near Week,event-details-registration-benjamin-abana-new-afro-near-week,Event pages,mobile,Important,Needs content/template review,Low visible text overlap (22.8%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/benjamin-abana-new-afro-near-week,https://preview.newafro.com/event-details-registration/benjamin-abana-new-afro-near-week/,200,2823,2872,1.7,33.6,22.8,../newafro-net/screenshots/event-details-registration-benjamin-abana-new-afro-near-week-mobile.jpg,com-screenshots/event-details-registration-benjamin-abana-new-afro-near-week-mobile.jpg,Open,,
event-details-registration-heritage-memoires-en-mouvements-desktop,Heritage Memoires En Mouvements,event-details-registration-heritage-memoires-en-mouvements,Event pages,desktop,Important,Needs content/template review,Low visible text overlap (19.2%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/heritage-memoires-en-mouvements,https://preview.newafro.com/event-details-registration/heritage-memoires-en-mouvements/,200,2587,1890,-26.9,22.6,19.2,../newafro-net/screenshots/event-details-registration-heritage-memoires-en-mouvements-desktop.jpg,com-screenshots/event-details-registration-heritage-memoires-en-mouvements-desktop.jpg,Open,,
event-details-registration-heritage-memoires-en-mouvements-mobile,Heritage Memoires En Mouvements,event-details-registration-heritage-memoires-en-mouvements,Event pages,mobile,Important,Needs content/template review,Low visible text overlap (19.2%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/heritage-memoires-en-mouvements,https://preview.newafro.com/event-details-registration/heritage-memoires-en-mouvements/,200,2587,2141,-17.2,38.6,19.2,../newafro-net/screenshots/event-details-registration-heritage-memoires-en-mouvements-mobile.jpg,com-screenshots/event-details-registration-heritage-memoires-en-mouvements-mobile.jpg,Open,,
event-details-registration-i-love-my-solitude-but-im-meant-to-be-a-lover-desktop,I Love My Solitude But Im Meant To Be A Lover,event-details-registration-i-love-my-solitude-but-im-meant-to-be-a-lover,Event pages,desktop,Important,Needs content/template review,Low visible text overlap (24.5%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/i-love-my-solitude-but-im-meant-to-be-a-lover,https://preview.newafro.com/event-details-registration/i-love-my-solitude-but-im-meant-to-be-a-lover/,200,2677,2388,-10.8,16.2,24.5,../newafro-net/screenshots/event-details-registration-i-love-my-solitude-but-im-meant-to-be-a-lover-desktop.jpg,com-screenshots/event-details-registration-i-love-my-solitude-but-im-meant-to-be-a-lover-desktop.jpg,Open,,
event-details-registration-i-love-my-solitude-but-im-meant-to-be-a-lover-mobile,I Love My Solitude But Im Meant To Be A Lover,event-details-registration-i-love-my-solitude-but-im-meant-to-be-a-lover,Event pages,mobile,Important,Needs content/template review,Low visible text overlap (24.5%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/i-love-my-solitude-but-im-meant-to-be-a-lover,https://preview.newafro.com/event-details-registration/i-love-my-solitude-but-im-meant-to-be-a-lover/,200,2677,2872,7.3,21.7,24.5,../newafro-net/screenshots/event-details-registration-i-love-my-solitude-but-im-meant-to-be-a-lover-mobile.jpg,com-screenshots/event-details-registration-i-love-my-solitude-but-im-meant-to-be-a-lover-mobile.jpg,Open,,
event-details-registration-la-teranga-en-couleur-desktop,La Teranga En Couleur,event-details-registration-la-teranga-en-couleur,Event pages,desktop,Important,Needs content/template review,Low visible text overlap (18.9%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/la-teranga-en-couleur,https://preview.newafro.com/event-details-registration/la-teranga-en-couleur/,200,2569,2296,-10.6,25.5,18.9,../newafro-net/screenshots/event-details-registration-la-teranga-en-couleur-desktop.jpg,com-screenshots/event-details-registration-la-teranga-en-couleur-desktop.jpg,Open,,
event-details-registration-la-teranga-en-couleur-mobile,La Teranga En Couleur,event-details-registration-la-teranga-en-couleur,Event pages,mobile,Important,Needs content/template review,Low visible text overlap (18.9%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/la-teranga-en-couleur,https://preview.newafro.com/event-details-registration/la-teranga-en-couleur/,200,2569,2826,10,41.3,18.9,../newafro-net/screenshots/event-details-registration-la-teranga-en-couleur-mobile.jpg,com-screenshots/event-details-registration-la-teranga-en-couleur-mobile.jpg,Open,,
event-details-registration-nazo-po-tozali-on-the-way-to-find-myself-mobile,Nazo Po Tozali On The Way To Find Myself,event-details-registration-nazo-po-tozali-on-the-way-to-find-myself,Event pages,mobile,Important,Needs content/template review,Page length differs by 67.8%.,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/nazo-po-tozali-on-the-way-to-find-myself,https://preview.newafro.com/event-details-registration/nazo-po-tozali-on-the-way-to-find-myself/,200,2716,4557,67.8,23.9,68.4,../newafro-net/screenshots/event-details-registration-nazo-po-tozali-on-the-way-to-find-myself-mobile.jpg,com-screenshots/event-details-registration-nazo-po-tozali-on-the-way-to-find-myself-mobile.jpg,Open,,
event-details-registration-new-afro-launch-desktop,New Afro Launch,event-details-registration-new-afro-launch,Event pages,desktop,Important,Needs content/template review,Low visible text overlap (22.8%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/new-afro-launch,https://preview.newafro.com/event-details-registration/new-afro-launch/,200,2437,2203,-9.6,26.9,22.8,../newafro-net/screenshots/event-details-registration-new-afro-launch-desktop.jpg,com-screenshots/event-details-registration-new-afro-launch-desktop.jpg,Open,,
event-details-registration-new-afro-launch-mobile,New Afro Launch,event-details-registration-new-afro-launch,Event pages,mobile,Important,Needs content/template review,Low visible text overlap (22.8%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/new-afro-launch,https://preview.newafro.com/event-details-registration/new-afro-launch/,200,2437,2779,14,37.3,22.8,../newafro-net/screenshots/event-details-registration-new-afro-launch-mobile.jpg,com-screenshots/event-details-registration-new-afro-launch-mobile.jpg,Open,,
event-details-registration-new-afro-x-benjamin-abana-desktop,New Afro X Benjamin Abana,event-details-registration-new-afro-x-benjamin-abana,Event pages,desktop,Important,Needs content/template review,Low visible text overlap (23.5%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/new-afro-x-benjamin-abana,https://preview.newafro.com/event-details-registration/new-afro-x-benjamin-abana/,200,2571,2296,-10.7,25.7,23.5,../newafro-net/screenshots/event-details-registration-new-afro-x-benjamin-abana-desktop.jpg,com-screenshots/event-details-registration-new-afro-x-benjamin-abana-desktop.jpg,Open,,
event-details-registration-new-afro-x-benjamin-abana-mobile,New Afro X Benjamin Abana,event-details-registration-new-afro-x-benjamin-abana,Event pages,mobile,Important,Needs content/template review,Low visible text overlap (23.5%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/new-afro-x-benjamin-abana,https://preview.newafro.com/event-details-registration/new-afro-x-benjamin-abana/,200,2571,2826,9.9,33,23.5,../newafro-net/screenshots/event-details-registration-new-afro-x-benjamin-abana-mobile.jpg,com-screenshots/event-details-registration-new-afro-x-benjamin-abana-mobile.jpg,Open,,
event-details-registration-private-showroom-africancreativestotheworld-desktop,Private Showroom Africancreativestotheworld,event-details-registration-private-showroom-africancreativestotheworld,Event pages,desktop,Important,Needs content/template review,Low visible text overlap (22.6%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/private-showroom-africancreativestotheworld,https://preview.newafro.com/event-details-registration/private-showroom-africancreativestotheworld/,200,3130,2296,-26.6,17.2,22.6,../newafro-net/screenshots/event-details-registration-private-showroom-africancreativestotheworld-desktop.jpg,com-screenshots/event-details-registration-private-showroom-africancreativestotheworld-desktop.jpg,Open,,
event-details-registration-private-showroom-africancreativestotheworld-mobile,Private Showroom Africancreativestotheworld,event-details-registration-private-showroom-africancreativestotheworld,Event pages,mobile,Important,Needs content/template review,Low visible text overlap (22.6%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/private-showroom-africancreativestotheworld,https://preview.newafro.com/event-details-registration/private-showroom-africancreativestotheworld/,200,3130,2872,-8.2,20,22.6,../newafro-net/screenshots/event-details-registration-private-showroom-africancreativestotheworld-mobile.jpg,com-screenshots/event-details-registration-private-showroom-africancreativestotheworld-mobile.jpg,Open,,
event-details-registration-rencontre-begegnung-desktop,Rencontre Begegnung,event-details-registration-rencontre-begegnung,Event pages,desktop,Important,Needs content/template review,Low visible text overlap (23.6%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/rencontre-begegnung,https://preview.newafro.com/event-details-registration/rencontre-begegnung/,200,2690,2296,-14.6,25.1,23.6,../newafro-net/screenshots/event-details-registration-rencontre-begegnung-desktop.jpg,com-screenshots/event-details-registration-rencontre-begegnung-desktop.jpg,Open,,
event-details-registration-rencontre-begegnung-mobile,Rencontre Begegnung,event-details-registration-rencontre-begegnung,Event pages,mobile,Important,Needs content/template review,Low visible text overlap (23.6%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/rencontre-begegnung,https://preview.newafro.com/event-details-registration/rencontre-begegnung/,200,2690,2826,5.1,32.6,23.6,../newafro-net/screenshots/event-details-registration-rencontre-begegnung-mobile.jpg,com-screenshots/event-details-registration-rencontre-begegnung-mobile.jpg,Open,,
event-details-registration-restitution-et-apres-restitution-und-dann-desktop,Restitution Et Apres Restitution Und Dann,event-details-registration-restitution-et-apres-restitution-und-dann,Event pages,desktop,Important,Needs content/template review,Low visible text overlap (16.1%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/restitution-et-apres-restitution-und-dann,https://preview.newafro.com/event-details-registration/restitution-et-apres-restitution-und-dann/,200,2629,2480,-5.7,24.4,16.1,../newafro-net/screenshots/event-details-registration-restitution-et-apres-restitution-und-dann-desktop.jpg,com-screenshots/event-details-registration-restitution-et-apres-restitution-und-dann-desktop.jpg,Open,,
event-details-registration-restitution-et-apres-restitution-und-dann-mobile,Restitution Et Apres Restitution Und Dann,event-details-registration-restitution-et-apres-restitution-und-dann,Event pages,mobile,Important,Needs content/template review,High visual difference (45.9%). Low visible text overlap (16.1%).,"Check whether the preview template/content matches the Wix source; update CMS content, page template, or intentionally defer missing legacy entries.",https://www.newafro.net/event-details-registration/restitution-et-apres-restitution-und-dann,https://preview.newafro.com/event-details-registration/restitution-et-apres-restitution-und-dann/,200,2629,2918,11,45.9,16.1,../newafro-net/screenshots/event-details-registration-restitution-et-apres-restitution-und-dann-mobile.jpg,com-screenshots/event-details-registration-restitution-et-apres-restitution-und-dann-mobile.jpg,Open,,
about-mobile,About,about,Main pages,mobile,Important,Codex can fix layout,Page length differs by 103.3%.,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/about,https://preview.newafro.com/about/,200,2393,4866,103.3,36.6,96.4,../newafro-net/screenshots/about-mobile.jpg,com-screenshots/about-mobile.jpg,Open,,
behind-the-scenes-desktop,Behind The Scenes,behind-the-scenes,Main pages,desktop,Important,Codex can fix layout,High visual difference (48.7%).,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/behind-the-scenes,https://preview.newafro.com/archive/,200,12753,8975,-29.6,48.7,37.7,../newafro-net/screenshots/behind-the-scenes-desktop.jpg,com-screenshots/behind-the-scenes-desktop.jpg,Open,,
behind-the-scenes-mobile,Behind The Scenes,behind-the-scenes,Main pages,mobile,Important,Codex can fix layout,High visual difference (63%). Page length differs by 101.5%.,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/behind-the-scenes,https://preview.newafro.com/archive/,200,12753,25692,101.5,63,37.7,../newafro-net/screenshots/behind-the-scenes-mobile.jpg,com-screenshots/behind-the-scenes-mobile.jpg,Open,,
career-desktop,Career,career,Main pages,desktop,Important,Codex can fix layout,High visual difference (69.7%).,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/career,https://preview.newafro.com/career/,200,2223,2261,1.7,69.7,65.4,../newafro-net/screenshots/career-desktop.jpg,com-screenshots/career-desktop.jpg,Open,,
career-mobile,Career,career,Main pages,mobile,Important,Codex can fix layout,High visual difference (59.4%).,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/career,https://preview.newafro.com/career/,200,2379,2866,20.5,59.4,65.4,../newafro-net/screenshots/career-mobile.jpg,com-screenshots/career-mobile.jpg,Open,,
community-desktop,Community,community,Main pages,desktop,Important,Codex can fix layout,High visual difference (52.2%).,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/community,https://preview.newafro.com/community/,200,3633,5167,42.2,52.2,37.7,../newafro-net/screenshots/community-desktop.jpg,com-screenshots/community-desktop.jpg,Open,,
community-mobile,Community,community,Main pages,mobile,Important,Codex can fix layout,High visual difference (63%). Page length differs by 186.6%.,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/community,https://preview.newafro.com/community/,200,3863,11072,186.6,63,37.7,../newafro-net/screenshots/community-mobile.jpg,com-screenshots/community-mobile.jpg,Open,,
contact-7-mobile,Contact 7,contact-7,Main pages,mobile,Important,Codex can fix layout,High visual difference (84.3%).,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/contact-7,https://preview.newafro.com/contact/,200,2379,1733,-27.2,84.3,96.7,../newafro-net/screenshots/contact-7-mobile.jpg,com-screenshots/contact-7-mobile.jpg,Open,,
events-mobile,Events,events,Main pages,mobile,Important,Codex can fix layout,High visual difference (57%).,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/events,https://preview.newafro.com/events/,200,5256,7609,44.8,57,97.6,../newafro-net/screenshots/events-mobile.jpg,com-screenshots/events-mobile.jpg,Open,,
general-1-desktop,General 1,general-1,Main pages,desktop,Important,Codex can fix layout,High visual difference (53.4%). Page length differs by 62.4%.,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/general-1,https://preview.newafro.com/agency/,200,2740,4449,62.4,53.4,96.2,../newafro-net/screenshots/general-1-desktop.jpg,com-screenshots/general-1-desktop.jpg,Open,,
general-1-mobile,General 1,general-1,Main pages,mobile,Important,Codex can fix layout,High visual difference (45.5%). Page length differs by 74.6%.,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/general-1,https://preview.newafro.com/agency/,200,2740,4783,74.6,45.5,96.2,../newafro-net/screenshots/general-1-mobile.jpg,com-screenshots/general-1-mobile.jpg,Open,,
general-8-mobile,General 8,general-8,Main pages,mobile,Important,Codex can fix layout,High visual difference (51.3%).,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/general-8,https://preview.newafro.com/artist-inquiries/,200,2379,1958,-17.7,51.3,50.8,../newafro-net/screenshots/general-8-mobile.jpg,com-screenshots/general-8-mobile.jpg,Open,,
home-mobile,Home,home,Main pages,mobile,Important,Codex can fix layout,High visual difference (75.6%).,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net,https://preview.newafro.com/,200,2379,1757,-26.1,75.6,96.2,../newafro-net/screenshots/home-mobile.jpg,com-screenshots/home-mobile.jpg,Open,,
privacy-policy-desktop,Privacy Policy,privacy-policy,Main pages,desktop,Important,Codex can fix layout,Low visible text overlap (19.6%).,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/privacy-policy,https://preview.newafro.com/privacy-policy/,200,2105,2077,-1.3,10.5,19.6,../newafro-net/screenshots/privacy-policy-desktop.jpg,com-screenshots/privacy-policy-desktop.jpg,Open,,
privacy-policy-mobile,Privacy Policy,privacy-policy,Main pages,mobile,Important,Codex can fix layout,Low visible text overlap (19.6%).,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/privacy-policy,https://preview.newafro.com/privacy-policy/,200,2379,2577,8.3,14.6,19.6,../newafro-net/screenshots/privacy-policy-mobile.jpg,com-screenshots/privacy-policy-mobile.jpg,Open,,
showroom-desktop,Showroom,showroom,Main pages,desktop,Important,Codex can fix layout,Page length differs by -57.7%. Low visible text overlap (12.5%).,"Review the side-by-side screenshot and rebuild missing/incorrect sections, spacing, media crops, typography, and footer/header treatment.",https://www.newafro.net/showroom,https://preview.newafro.com/showroom/,200,2840,1201,-57.7,13.2,12.5,../newafro-net/screenshots/showroom-desktop.jpg,com-screenshots/showroom-desktop.jpg,Open,,
